headline,category
There's A Weird Geographical Quirk About Sweden's Match Against Denmark This Week,clickbait
Adele Is Currently Experiencing What She Put All Of Us Through For The Last Four Years,clickbait
"In Minnesota, a Battle Without End for a Senate Seat",notclickbait
Queen RiRi Might Be Dating Travis Scott,clickbait
"Spend $10,600 on the Yankees, or on College or  a Car?",notclickbait
"Here's Why ""Paw Patrol"" Is A Terrible Kids' Show",clickbait
"Which Song From ""Steven Universe"" Are You",clickbait
More Business Travelers Putting Away the Suitcase,notclickbait
Spanish newspaper co-founder Carlos Mendo dies aged 77,notclickbait
NASCAR: Edwards wins 2010 Kobalt Tools 500,notclickbait
U.S. Senate defeats bill banning gay marriage,notclickbait
The New Wonder Woman Movie Officially Looks Amazing,clickbait
Near-Complete Fossil Offers Insight on Early Fish,notclickbait
Oestgaard Buaas Retains U.S. Slopestyle Title,notclickbait
Canada's Dollaramas Are Raising Their $1 Prices And It's Bullsh*t,clickbait
38 Genius Ways To Save Money On Travel In 2016,clickbait
"The Goddam Internet Did It Again With This Lip-Dub Of Olivia From ""The Bachelor""",clickbait
"Eritrea plans to vaccinate 500,000 children",notclickbait
2007 FIFA U17 World Cup: Germany eliminates Americans; sets up England quarter final,notclickbait
Professor Accused of Pocketing NASA Money,notclickbait
American war deserter given stay of deportation in Canada,notclickbait
Bank of America to Receive Additional $20 Billion,notclickbait
11 Things You've Definitely Googled Before,clickbait
A Whiff of Controversy and South African Wines,notclickbait
11 Types Of Student Everyone Meets At University,clickbait
An Eight-Months Pregnant Bridesmaid Went Into Labor The Morning Of Her Friend's Wedding,clickbait
"After a Pause, Wall Street Pay Bounces Back",notclickbait
Which Fantastic Magical Beast Are You Based On Your Zodiac Sign,clickbait
Boeing 767 cargo plane seriously damaged by fire at San Francisco,notclickbait
"How Well Do You Remember ""30 Rock""",clickbait
Two new cases of West Nile Virus reported in Indiana,notclickbait
16 Photos That Prove Just How Hardcore Curling Is,clickbait
21 Signs That Prove Booksellers Are The Absolute Best,clickbait
Australian and New Zealander freemasons arrested for sorcery in Fiji,notclickbait
We Tried Stand-Up Comedy For The First Time And It Was Just Awful,clickbait
7 Bizarre Facts You Didn't Know About This Week In History,clickbait
Dead body left in UK hospital alongside living patients for seven hours,notclickbait
Somali opposition group al-Shabaab to block WFP food aid,notclickbait
BHP Closing Nickel Mine as Commodity Prices Fall,notclickbait
Panic! At The Disco's New Music Video Is The Creepiest Thing You'll See All Week,clickbait
14 Songs From The Early 2000s That Are Now Modern Day Christmas Classics,clickbait
Here's Justin Trudeau Walking The Wrong Way Up An Escalator For All Eternity,clickbait
17 Things People Who Don't Need Glasses Will Never Understand,clickbait
Tight Mortgage Rules Exclude Even Good Risks,notclickbait
Mob kills 'witches' in Kenya,notclickbait
Wikileaks.org restored as injunction is lifted,notclickbait
24 Times Ruby Rose And Phoebe Dahl Defined Relationship Goals In 2015,clickbait
Surf's up in Chile; championship competition in Pichilemu,notclickbait
Scholarships awarded to isolated pacific islanders in Micronesia,notclickbait
Watch 80 Years Of Halloween Costumes In Under Three Minutes,clickbait
This Video Is For Every Girl Who Can't Do Makeup,clickbait
21 Words That Meant Something Completely Different In 2006,clickbait
Can This Little Gadget Help Your Posture,clickbait
"Norway Wins, While Russia Calls the Tune",notclickbait
"Urging Freedoms, Obama Chides Zimbabwe Leader",notclickbait
"Adam Woodyatt Is Upset A #HowsAdam Moment Didn't Happen During The ""Corrie"" Live Episode",clickbait
Can You Guess Which Celeb Made This Art,clickbait
"26 Jokes Guaranteed To Make ""Star Wars"" Fans Laugh Every Time",clickbait
Banks Foreclose on Builders With Perfect Records,notclickbait
Republican Throwbacks Taking Aim at Court Pick,notclickbait
17 Things All Girls With Too Much Hair Will Understand,clickbait
U.S. Diplomat Makes a Trip to Myanmar,notclickbait
Bush nominates Alito to U.S. Supreme Court,notclickbait
NASA's Phoenix spacecraft lands safely on Mars,notclickbait
An Inexpensive Digital Edge on the Golf Course,notclickbait
23 Weird As Hell U.S. Laws You Won't Believe Are Real,clickbait
Would You Time Travel To The Past Or Future,clickbait
Are You More Ja Rule And Ashanti Or Ja Rule And J.Lo,clickbait
Russian passenger airliner makes safe landing in Moscow after concerns of gear damage,notclickbait
Taiwan's cabinet resigns,notclickbait
Sri Lankan Troops Breach Rebel Haven,notclickbait
Here's What Meg Cabot Learned About Situational Depression,clickbait
"If You Were Stranded On Mars, Which Vegetable Would You Eat",clickbait
Tens of thousands protest in London before Copenhagen climate change summit,notclickbait
"Boat in DR Congo capsizes, 80 feared dead",notclickbait
Headless man found near suburban Chicago school,notclickbait
Watch People Struggle Trying To Guess Urban Dictionary Terms,clickbait
"Scotland Yard says suicide bomb blast killed Bhutto, not bullet",notclickbait
International experts probe deadly Ebola Reston virus outbreak in Philippine pigs,notclickbait
17 Desserts Guaranteed To Turn You Into A Chocoholic,clickbait
We Know Your Favorite Dog Breed Based On Your Favorite Snack,clickbait
"These 24 Moments From ""Pride & Prejudice"" Will Make Your Heart Melt",clickbait
Tyra Banks Announced The Birth Of Her First Child In The Most Adorable Way,clickbait
Air France jet with 228 on board goes missing,notclickbait
"Marnie Piper Is Returning To The Town From ""Halloweentown""",clickbait
"In Minnesota, Another Bid for a Recount",notclickbait
